year,make,model,variant,Body Type,No. of Seats,Build Date,Compliance Date,VIN,Registration No,Registration State,Registration Expiry Date,No. of Plates,No. of Cylinders,Engine Capacity,Fuel Type,Transmission,Indicated Odometer Reading,Odometer Measurement,Exterior Colour,Interior Colour,Key,Spare Key,Owners Manual,Service History,Engine Turns Over,Location,date,bids,price,url
2017,Nissan,Qashqai,ST J11 CVT Wagon,Wagon,5,2017-05,2017-08,SJNFBAJ11AZ068700,DPN49X,NSW,?,0,4,2,Petrol,CVT,197495,kilometre,White,Black,Yes,Yes,Yes,No,Yes,NSW,2025-03-30,,0,https://www.grays.com/lot/0001-10910622/motor-vehicles-motor-cycles/2017-nissan-qashqai-st-j11-cvt-wagon
2012,Toyota,Landcruiser,Prado GX (4x4) KDJ150R Turbo Diesel Manual Wagon,Wagon,5,2012-03,2012-03,JTEBH3FJ70K072445,2AP7MG,VIC,?,?,4,3,Diesel,Manual,92964,kilometre,White,Black,Yes,No,Yes,Yes,Yes,VIC,2025-03-24,172.0,0,https://www.grays.com/lot/0001-21045656/motor-vehicles-motor-cycles/2012-toyota-landcruiser-prado-gx-4x4-kdj150r-turbo-diesel-manual-wagon
2014,Toyota,Kluger,4X2 GX GSU50R Automatic 7 Seats Wagon,Wagon,7,2014-02,2014-04,5TDZK3FH90S012841,1RJ3KC,VIC,28-02-2025,2,6,3.5,Petrol,Automatic,"248976 - Odometer discrepancy detected, see attached history report",kilometre,White,Grey,Yes,No,No,No,Yes,VIC,2025-03-10,107.0,0,https://www.grays.com/lot/0001-21044882/motor-vehicles-motor-cycles/2014-toyota-kluger-4x2-gx-gsu50r-automatic-7-seats-wagon
2015,Audi,Q5,2.0 TFSI Quattro 8R Automatic - 8 Speed Wagon,Wagon,5,2015-03,2015-08,WAUZZZ8R4FA124194,?,?,?,0,4,2,Petrol,Automatic - 8 Speed,183265,kilometre,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-12,25.0,0,https://www.grays.com/lot/0001-50514173/motor-vehicles-motor-cycles/2015-audi-q5-2-0-tfsi-quattro-8r-automatic-8-speed-wagon
2013,Peugeot,208,ALLURE PREMIUM Automatic Hatchback,Hatchback,5,2013-02,2013-07,VF3CC5FS9DW016686,ZXG699,VIC,12-02-2025,2,4,1.6,Petrol,Automatic,82686,kilometre,Red,Black,Yes,Yes,No,No,Yes,VIC,2025-03-19,,0,https://www.grays.com/lot/0001-21045269/motor-vehicles-motor-cycles/2013-peugeot-208-allure-premium-automatic-hatchback
2010,Suzuki,Grand,Vitara Prestige (4x4) JT Automatic Wagon,Wagon,5,2010-02,2011-03,JSAJTDB4V00201793,DK34QE,NSW,?,0,6,3.2,Petrol,Automatic,188751,kilometre,Silver,Black Leather,Yes,No,Yes,Yes,Yes,NSW,2025-04-23,,0,https://www.grays.com/lot/0001-10910908/motor-vehicles-motor-cycles/2010-suzuki-grand-vitara-prestige-4x4-jt-automatic-wagon
2011,Nissan,Murano,Ti 4x4 Auto SUV,Wagon,5,2011-03,2011-03,JN1TANZ51A0007035,?,?,?,2,6,3.5,Petrol,CVT,213501,kilometre,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,2025-04-23,14.0,0,https://www.grays.com/lot/0001-50514866/motor-vehicles-motor-cycles/2011-nissan-murano-ti-4x4-auto-suv
2015,Ford,Ranger,XLT 4X2 Hi-Rider PX Turbo Diesel Automatic Dual Cab,Dual Cab,5,2015-03,2015-04,MNAUMFF50FW428213,1ETJ652,WA,11-08-2025,2,5,3.2,Diesel,Automatic,243084,kilometre,White,Grey,Yes,Yes,Yes,Yes,Yes,WA,2025-04-15,99.0,0,https://www.grays.com/lot/0001-9058645/motor-vehicles-motor-cycles/2015-ford-ranger-xlt-4x2-hi-rider-px-turbo-diesel-automatic-dual-cab
2017,Ford,Ranger,XL 4X4 PX II Turbo Diesel Automatic Extra Cab,Extra Cab,4,2017-06,2017-07,MNAUM1F50HW734874,1KY5ZO,VIC,30-03-2025,2,5,3.2,Diesel,Automatic,208868,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,2025-03-30,170.0,0,https://www.grays.com/lot/0001-21046264/motor-vehicles-motor-cycles/2017-ford-ranger-xl-4x4-px-ii-turbo-diesel-automatic-extra-cab
2011,Audi,Q7,3.0 TDI Quattro T/D Auto - 8 Speed 7 Seats Wagon,Wagon,7,Unable to read,Unable to read,WAUZZZ4LXBD014471,?,?,?,?,6,3,Diesel,Automatic - 8 Speed,239640,kilometre,White,Black Leather,Yes,Yes,Yes,Yes,Yes,SA,2025-03-24,79.0,0,https://www.grays.com/lot/0001-60047472/motor-vehicles-motor-cycles/2011-audi-q7-3-0-tdi-quattro-t-d-auto-8-speed-7-seats-wagon
2020,Hyundai,iLOAD,TQ II Turbo Diesel Automatic Van,Van,3,2020-09,2020-10,KMFWBX7KMMU165596,1SY5IM,VIC,29-01-2026,2,4,2.5,Diesel,Automatic,95488,kilometre,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,2025-04-15,180.0,0,https://www.grays.com/lot/0001-21047021/motor-vehicles-motor-cycles/2020-hyundai-iload-tq-ii-turbo-diesel-automatic-van
2017,Audi,Q5,2.0 TFSI QUATTRO SPT 80A Automatic Wagon,Wagon,5,2017-10,2018-05,WAUZZZFY7J2083685,?,?,?,0,4,2,Petrol,Automatic,119070,kilometre,Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-20,62.0,0,https://www.grays.com/lot/0001-50514418/motor-vehicles-motor-cycles/2017-audi-q5-2-0-tfsi-quattro-spt-80a-automatic-wagon
2014,Land,Rover,Range Rover Evoque eD4 PURE TECH Turbo Diesel Manual Wagon,Wagon,5,2014-01,2014-04,SALVB2CC1EH883562,?,?,?,0,4,2.2,Diesel,Manual,127767,kilometre,Grey,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-12,50.0,0,https://www.grays.com/lot/0001-50711358/motor-vehicles-motor-cycles/2014-land-rover-range-rover-evoque-ed4-pure-tech-turbo-diesel-manual-wagon
0,Toyota,Landcruiser,Manual Ute,?,6,?,1983-4,HJ60010467,?,?,?,2,8,5.7,Petrol,Manual,252669,kilometre,Red,Grey,Yes,No,No,No,No,QLD,2025-03-26,23.0,0,https://www.grays.com/lot/0001-50514279/motor-vehicles-motor-cycles/toyota-landcruiser-manual-ute
